train/actor_loss,time/episodes,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,rollout/success_rate,time/total_timesteps,train/n_updates,time/fps,rollout/ep_rew_mean,train/learning_rate
0.31713555157184603,10,3,45.1,0.003963100246619433,0.2,451,311,137,-15.3527247,0.001
0.29162600547075274,20,6,45.45,0.0022257085889577865,0.15,909,769,130,-13.551719549999998,0.001
0.25627312779426575,30,10,43.96666666666667,0.0011381122178863734,0.2,1319,1211,125,-11.0589822,0.001
0.2634650573134422,40,13,43.225,0.0012251164764165879,0.2,1729,1589,124,-10.547890624999999,0.001
0.14386194035410882,50,17,42.94,0.0013268438261002302,0.2,2147,2007,125,-9.659331220000002,0.001
0.06045641918666661,60,20,43.18333333333333,0.0015156108664814384,0.2,2591,2451,125,-9.106597350000003,0.001
0.0338026780448854,70,24,43.7,0.0020375883346423506,0.18571428571428572,3059,2919,123,-8.914084057142855,0.001
0.03842968347482383,80,28,43.6375,0.0039502207981422545,0.1875,3491,3351,123,-8.9799439,0.001
-0.01206976834218949,90,31,43.833333333333336,0.00281664669746533,0.17777777777777778,3945,3805,123,-9.372068544444444,0.001
-0.03791080663601557,100,34,41.57,0.0016196824532623093,0.23,4157,4065,121,-8.71967928,0.001
0.01683998852968216,110,35,38.7,0.0021422161953523755,0.29,4321,4195,122,-7.3743564400000015,0.001
-0.023388053455467645,120,36,34.82,0.0019079177485158045,0.38,4391,4299,121,-6.2665843599999995,0.001
-0.0486242757178843,130,36,31.24,0.002190127386711538,0.45,4443,4347,121,-5.70593368,0.001
-0.036552856932394205,140,38,29.02,0.001626086060423404,0.51,4631,4538,121,-4.982367139999999,0.001
-0.055640466480108446,150,40,28.14,0.002721995525062084,0.53,4961,4821,122,-4.866988,0.001
-0.10258578384915988,160,43,27.04,0.002538102704824673,0.55,5295,5195,122,-4.72693546,0.001
-0.0987107348954305,170,44,24.46,0.003115513289812952,0.61,5505,5413,122,-4.15482252,0.001
-0.11099732082337141,180,46,21.94,0.003155843364074826,0.66,5685,5545,123,-3.4011780099999998,0.001
-0.19665629416704178,190,48,20.12,0.002646636334247887,0.71,5957,5854,121,-2.3819771,0.001
-0.20606752693653108,200,51,20.85,0.0037796755880117414,0.7,6242,6106,122,-2.4700458199999997,0.001
-0.2502928376197815,210,53,21.71,0.004041705280542374,0.68,6492,6352,122,-2.5913549799999998,0.001
-0.25758520637949306,220,55,23.57,0.0037829538341611624,0.64,6748,6642,121,-2.822819140000001,0.001
-0.24510611817240716,230,56,24.53,0.0032671340508386494,0.62,6896,6803,121,-2.93282467,0.001
-0.28479809562365216,240,57,23.21,0.003542738656202952,0.64,6952,6858,121,-2.8043912200000007,0.001
-0.27838638921578723,250,57,20.73,0.0035983096652974686,0.69,7034,6894,121,-2.3820225699999997,0.001
-0.319047287106514,260,58,17.94,0.005312557565048337,0.75,7089,6995,121,-1.9407828100000004,0.001
-0.3284313380718231,270,59,16.41,0.0055192282889038324,0.78,7146,7049,120,-1.7872452199999997,0.001
-0.3043674759823701,280,60,16.03,0.00506586333383517,0.8,7288,7196,120,-1.7098438499999997,0.001
-0.3231081679463387,290,62,15.69,0.00550595105625689,0.8,7526,7429,120,-1.7467026299999997,0.001
-0.32154095828533175,300,65,15.77,0.005572064714506268,0.79,7819,7727,120,-1.6857164599999999,0.001
-0.32348283659666777,310,67,15.96,0.00877129685250111,0.79,8088,7996,120,-1.6272427599999997,0.001
-0.4248750352859497,320,71,17.65,0.006781668425537646,0.75,8513,8421,119,-2.0561842400000003,0.001
-0.46418160617351534,330,73,18.96,0.00796896731480956,0.72,8792,8652,119,-2.29471697,0.001
-0.4942445629835129,340,76,22.11,0.006601535622030497,0.65,9163,9023,119,-2.95793292,0.001
-0.5811357426643372,350,79,24.85,0.011951993303373456,0.59,9519,9379,120,-4.09349983,0.001
-0.7031961934907096,360,81,26.95,0.008577082239623581,0.54,9784,9644,120,-4.5776527399999996,0.001
-0.6309861886501312,370,83,28.77,0.007377017117105425,0.5,10023,9883,119,-4.79842794,0.001
-0.5605678558349609,380,84,28.6,0.009945327416062355,0.5,10148,10047,119,-4.81710625,0.001
-0.6313349097967148,390,86,28.02,0.0072462602192536,0.51,10328,10188,119,-4.74989154,0.001
-0.6022190020439473,400,89,28.24,0.007114344588579967,0.53,10643,10550,119,-4.7533636,0.001
-0.5988044613599777,410,91,29.2,0.007825370072387159,0.5,11008,10868,119,-4.9692199100000005,0.001
-0.6352123135328293,420,94,27.73,0.007036834433674813,0.53,11286,11193,119,-4.63644522,0.001
-0.6790510398149491,430,97,27.81,0.007765254448167979,0.53,11573,11481,119,-4.742773980000001,0.001
-0.70208724796772,440,99,27.24,0.00898322586901486,0.54,11887,11747,119,-4.46438327,0.001
-0.7243622899055481,450,101,25.84,0.008786143269389868,0.57,12103,11963,119,-3.53891018,0.001
-0.7911885267496109,460,103,25.88,0.012394850375130773,0.57,12372,12232,119,-3.62317446,0.001
-0.8413150787353516,470,106,26.15,0.012567557161673903,0.56,12638,12498,118,-3.7235610899999996,0.001
-0.8758879017829895,480,109,28.01,0.010871241008862853,0.51,12949,12857,118,-4.0202361699999996,0.001
-0.8790145516395569,490,111,29.3,0.005860096542164683,0.48,13258,13165,118,-4.11839755,0.001
-1.0377836525440216,500,113,28.22,0.008364052511751652,0.49,13465,13348,118,-4.017878589999999,0.001
-1.1139738112688065,510,115,26.45,0.0176500475499779,0.53,13653,13560,118,-3.880693050000001,0.001
-0.9704379240671793,520,117,26.62,0.023126421651492517,0.53,13948,13808,118,-3.7900593,0.001
-1.0498361158370972,530,119,25.45,0.013928387453779579,0.55,14118,14023,118,-3.4640591599999992,0.001
-0.9993415236473083,540,120,23.14,0.01822577612474561,0.6,14201,14108,118,-3.09756429,0.001
-1.1372782588005066,550,122,23.28,0.01644301176485088,0.61,14431,14291,118,-3.0338096500000007,0.001
-1.1552997761302524,560,123,21.91,0.021065291327734787,0.66,14563,14466,117,-2.54334017,0.001
-1.1698469668626785,570,124,20.9,0.01818091154564172,0.69,14728,14630,117,-2.31536619,0.001
-1.0478659868240356,580,126,20.3,0.049154382199048996,0.71,14979,14886,118,-2.0952356500000002,0.001
-1.273218252658844,590,128,20.11,0.019950058422982694,0.72,15269,15129,118,-2.02452139,0.001
-1.453721284866333,600,131,20.64,0.009014648385345936,0.69,15529,15437,118,-2.02876612,0.001
-1.3524559485912322,610,131,19.97,0.019407866559922694,0.7,15650,15510,118,-1.8050318200000004,0.001
-1.352685769399007,620,132,17.69,0.02184173030157884,0.75,15717,15624,118,-1.5619663199999996,0.001
-1.4200565576553346,630,136,20.03,0.021692906823009252,0.71,16121,15981,118,-1.9159954499999998,0.001
-1.5033980178833009,640,139,22.76,0.023652366111055017,0.65,16477,16337,118,-2.5165262200000003,0.001
-1.4088958501815796,650,140,22.16,0.07479726523160934,0.66,16647,16555,118,-2.471242759999999,0.001
-1.4839992451667785,660,144,24.88,0.023877145126461982,0.58,17051,16911,118,-2.9452338799999995,0.001
-1.602724814414978,670,146,25.9,0.02854596694931388,0.55,17318,17178,118,-3.0582062000000003,0.001
-1.6755010986328125,680,149,27.39,0.029474475234746934,0.53,17718,17578,118,-3.49794106,0.001
-1.8148755741119384,690,152,27.33,0.031129347886890174,0.53,18002,17862,118,-3.5964642199999997,0.001
-2.019440529346466,700,155,29.19,0.03320388257503509,0.5,18448,18315,118,-4.08453627,0.001
-2.254344165325165,710,157,30.65,0.027633087942376733,0.47,18715,18622,118,-4.3156678,0.001
-2.3102280497550964,720,161,34.07,0.04401447081938386,0.39,19124,19031,118,-4.93754396,0.001
-2.564754295349121,730,163,33.13,0.0367464404553175,0.41,19434,19294,118,-4.748787999999999,0.001
-2.5063771772384644,740,166,32.71,0.052914177626371385,0.42,19748,19608,118,-4.43219782,0.001
-2.757766923904419,750,169,35.54,0.054057007152587176,0.35,20201,20061,119,-4.8766218100000005,0.001
-2.530433773994446,760,172,34.26,0.059821031987667084,0.38,20477,20377,119,-4.56647259,0.001
-2.9430065155029297,770,175,35.07,0.08786890096962452,0.37,20825,20729,118,-4.7590332,0.001
-3.236922025680542,780,176,32.82,0.09009591117501259,0.4,21000,20908,118,-4.311324539999999,0.001
-3.1753215551376344,790,179,33.78,0.09936479289084672,0.38,21380,21240,119,-5.572536909999999,0.001
-3.7974061965942383,800,183,33.22,0.02520875446498394,0.39,21770,21643,118,-5.86302705,0.001
-3.3106504821777345,810,186,34.18,0.0946589395776391,0.37,22133,22039,118,-6.0798704599999995,0.001
-3.501831488609314,820,188,33.99,0.1076802609115839,0.39,22523,22383,119,-5.8791242299999995,0.001
-3.7619657278060914,830,192,35.4,0.10528938133269548,0.35,22974,22834,119,-6.31740519,0.001
-3.843209137916565,840,195,36.17,0.10235782608389854,0.34,23365,23225,119,-6.580784030000001,0.001
-3.487081527709961,850,199,35.18,0.14870009571313858,0.37,23719,23579,118,-6.399512980000001,0.001
-3.9464572525024413,860,203,36.42,0.1342081467062235,0.35,24119,23979,118,-6.738762749999999,0.001
-4.077367038726806,870,206,36.99,0.13165740869939327,0.33,24524,24384,118,-6.961996980000001,0.001
-4.203925900459289,880,211,39.72,0.13321136306971312,0.28,24972,24879,117,-7.373924349999999,0.001
-4.465360879898071,890,214,39.89,0.19598699361085892,0.28,25369,25229,118,-6.508545860000001,0.001
-4.562571921348572,900,218,39.36,0.19361262053251266,0.29,25706,25566,117,-6.00520816,0.001
-4.834667224884033,910,222,40.73,0.18988154418766498,0.26,26206,26066,117,-6.44258003,0.001
-4.655629901885987,920,226,41.42,0.18611836761236192,0.23,26665,26566,117,-6.8840001299999996,0.001
-4.538754940032959,930,229,39.86,0.1855703443288803,0.27,26960,26820,117,-6.561572439999999,0.001
-4.938594102859497,940,233,40.16,0.16902788825333118,0.26,27381,27285,117,-6.605353140000001,0.001
-4.957260913848877,950,237,41.18,0.21699511066079138,0.23,27837,27697,117,-6.81629543,0.001
-5.1362222480773925,960,241,41.7,0.21830994032323361,0.21,28289,28149,117,-6.890031429999999,0.001
-5.290853023529053,970,245,41.87,0.05040983855724335,0.21,28711,28571,117,-6.837291700000001,0.001
-5.3955559730529785,980,248,41.51,0.2732954666763544,0.21,29123,28983,117,-6.7710379,0.001
-5.532464618682861,990,252,42.06,0.2455345718562603,0.19,29575,29435,116,-6.700520040000002,0.001
-6.691596717834472,1000,256,43.69,0.3327645382285118,0.15,30075,29935,117,-7.591198340000001,0.001
-7.636995630264282,1010,260,43.69,0.6070068973302841,0.15,30575,30435,117,-8.626759630000002,0.001
-8.091185808181763,1020,264,43.62,1.0716661214828491,0.15,31027,30887,117,-9.37868677,0.001
-8.407235641479492,1030,268,45.2,0.9423827469348908,0.11,31480,31340,117,-11.11871888,0.001
-8.610174407958985,1040,272,45.99,0.8505764749646186,0.09,31980,31840,117,-12.76077925,0.001
-8.831943206787109,1050,277,45.95,0.7147647172212601,0.09,32432,32292,117,-13.194384100000002,0.001
-9.251889686584473,1060,280,44.93,0.667843252569437,0.12,32782,32687,116,-13.19347776,0.001
-9.773734436035156,1070,284,44.77,1.14175611063838,0.12,33188,33094,116,-13.319988809999998,0.001
-10.34257225036621,1080,288,45.21,0.982444030046463,0.11,33644,33504,116,-13.563931610000003,0.001
-10.850823936462403,1090,292,45.55,1.2555955052375793,0.11,34130,33990,116,-13.690121690000002,0.001
