time/fps,time/total_timesteps,time/episodes,train/learning_rate,train/critic_loss,time/time_elapsed,rollout/success_rate,train/actor_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
141,464,10,0.001,0.005429745391011238,3,0.1,0.1800543648004532,350,-12.718194500000001,46.4
137,917,20,0.001,0.0017923324679334958,6,0.1,0.22089225053787231,803,-13.9190261,45.85
128,1323,30,0.001,0.001789421308785677,10,0.13333333333333333,0.25592395663261414,1255,-11.1526797,44.1
125,1654,40,0.001,0.0020174720557406545,13,0.2,0.2729836702346802,1540,-9.359282125,41.35
124,1874,50,0.001,0.002278641557786614,15,0.28,0.27047270953655245,1760,-8.20005684,37.48
122,2186,60,0.001,0.002318589373026043,17,0.3,0.29108355164527894,2120,-7.698372266666667,36.43333333333333
123,2466,70,0.001,0.002125792584847659,20,0.32857142857142857,0.2626395523548126,2352,-7.159270428571428,35.22857142857143
120,2685,80,0.001,0.001820657984353602,22,0.3625,0.24084727466106415,2618,-6.56089815,33.5625
120,2830,90,0.001,0.0023957458943186793,23,0.4222222222222222,0.2616641381755471,2760,-5.9711649777777795,31.444444444444443
121,3111,100,0.001,0.0023407540284097195,25,0.44,0.2819828987121582,2997,-5.74366873,31.11
121,3477,110,0.001,0.0021564059611409903,28,0.46,0.3179995828866959,3405,-4.924472509999999,30.13
122,3767,120,0.001,0.0026696339482441545,30,0.5,0.3097001612186432,3653,-3.80832705,28.5
122,3956,130,0.001,0.0021504605188965797,32,0.55,0.2804724723100662,3885,-3.4674917900000004,26.33
124,4237,140,0.001,0.002774720157807072,34,0.57,0.30351442098617554,4123,-3.39287794,25.83
124,4550,150,0.001,0.002597963649313897,36,0.55,0.2889997124671936,4436,-3.347313990000001,26.76
123,4862,160,0.001,0.0025591436005197466,39,0.55,0.2688459450006485,4748,-3.14606471,26.76
123,4940,170,0.001,0.003079009708017111,40,0.59,0.28480514883995056,4872,-2.8252298800000006,24.74
123,5036,180,0.001,0.00239423926298817,40,0.63,0.27967286109924316,4969,-2.6632589299999996,23.51
122,5113,190,0.001,0.002460898831486702,41,0.64,0.29029762744903564,5046,-2.5929513400000004,22.83
122,5141,200,0.001,0.0028527675506969294,41,0.68,0.2639167383313179,5076,-2.2465222899999997,20.3
122,5224,210,0.001,0.002801035065203905,42,0.74,0.29751262068748474,5157,-1.8648047399999998,17.47
122,5325,220,0.001,0.002797188237309456,43,0.78,0.21656352281570435,5255,-1.5685452100000001,15.58
122,5398,230,0.001,0.0024190054973587394,44,0.81,0.22702044248580933,5330,-1.4121781999999996,14.42
122,5468,240,0.001,0.0021898773654053607,44,0.85,0.22492916385332742,5396,-1.1555445599999998,12.31
122,5512,250,0.001,0.002430806588381529,45,0.91,0.28421961267789203,5442,-0.8905930800000001,9.62
122,5631,260,0.001,0.0023021618713085588,46,0.96,0.21742802779925496,5562,-0.65848496,7.69
122,5665,270,0.001,0.0025758074674134455,46,0.97,0.23687497278054556,5594,-0.61788481,7.25
